	start	end	weight	mean_relative_abundance
0	Schaalia cardiffensis	CHRM3	24.616106090097524	0.0005507951066600978
1	Acinetobacter towneri	NF1	7.776187445327775	2.9318848631897837e-06
2	Acinetobacter wanghuae	CHRNA5	21.97081623445273	4.625113316904505e-06
3	Hafnia paralvei	SFTPD	6.0155388580429	8.452493586335661e-08
4	Hafnia paralvei	SERPINA1	6.0155388580429	8.452493586335661e-08
5	Variovorax sp. RA8	NF1	16.763830614001286	1.4090805460313387e-05
6	Variovorax sp. RA8	RB1	8.553489798239905	1.4090805460313387e-05
7	Achromobacter spanius	MYC	11.007587286818206	3.4496933545816046e-05
8	Auritidibacter sp. NML130574	HHIP	11.443454835831544	0.00023414575898134162
9	Bacteroides fragilis	NRG1	9.70859126384453	0.0007560755630920917
10	Bacteroides fragilis	RB1	7.983828992090056	0.0007560755630920917
11	Neptunomonas phycophila	MFAP2	7.983828992090056	6.109497665647614e-08
12	Neptunomonas phycophila	NPNT	7.983828992090056	6.109497665647614e-08
13	Mycobacteroides abscessus	ALK	15.947146629375354	1.558212706986123e-05
14	Leptotrichia shahii	RB1	9.529326354786221	5.335758999800199e-05
15	Monaibacterium sp. ALG8	AKT1	11.756778139680106	0.00011398909250062133
16	Monaibacterium sp. ALG8	MAP2K1	13.354353514684039	0.00011398909250062133
17	Acinetobacter lwoffii	PIK3CA	6.30950226180171	4.120316453568854e-05
18	Hydrogenophaga sp. PBC	MYC	6.052559892550785	5.63819309924119e-05
19	Butyrivibrio fibrisolvens	KRAS	6.520111295238183	0.000392402652609761
20	Butyrivibrio fibrisolvens	PIK3CA	5.850776009301334	0.000392402652609761
21	Butyrivibrio fibrisolvens	NF1	7.9574564548385105	0.000392402652609761
22	Butyrivibrio fibrisolvens	RB1	13.25021603211876	0.000392402652609761
23	Porphyromonas gingivalis	NRG1	9.70859126384453	0.0015807075700165556
24	Porphyromonas gingivalis	RB1	7.983828992090056	0.0015807075700165556
