,start,end,weight,mean_relative_abundance
0,Aspergillus steynii,KRAS,24.006777804602816,0.00033708764298415466
1,Aspergillus steynii,TP53,7.188035731744009,0.00033708764298415466
2,Aspergillus thermomutatus,TP53,8.27618309448119,0.0008553822317356079
3,Aspergillus lentulus,TP53,7.940701724822356,0.0004978634255049322
4,Fusarium odoratissimum,CHRM3,7.269621392325386,2.6404217203421558e-06
5,Fusarium graminearum,NF1,12.397958824950008,5.6882748830390974e-05
6,Puccinia striiformis,TGFB2,7.745170946119802,0.0007592092312595413
7,Encephalitozoon intestinalis,SFTPD,12.351866895648984,3.2246732454733276e-06
8,Pseudomonas sp. HN11,HHIP,12.858406391382164,4.6414412090832006e-07
9,Pseudomonas sp. HN11,TP53,9.595891425283511,4.6414412090832006e-07
10,Pseudomonas sp. p1(2021b),ROS1,6.257854484312852,2.0443064331102888e-06
11,Pseudomonas lundensis,ADAMTSL3,7.957249326920109,4.716209749438296e-06
12,Escherichia sp. E4742,TP53,23.49178425607674,3.2674335674239363e-06
13,Enterobacter asburiae,TP53,11.696192247050934,7.399178691871035e-06
14,Klebsiella quasipneumoniae,NF1,11.572330764115218,0.00015387730069728529
15,Klebsiella quasipneumoniae,FBXO38,10.77812748832982,0.00015387730069728529
16,Raoultella ornithinolytica,TP53,11.877287985428277,1.8432799135089e-05
17,Raoultella sp. XY-1,FBXO38,6.851103025188038,6.402880887752815e-06
18,Shigella boydii,CHRNA5,6.654139077993072,0.00038458056933284875
19,Serratia symbiotica,FBXO38,10.459452626428593,0.00012112450141009973
20,Acinetobacter calcoaceticus,NF1,13.184310435943022,0.0006571710177731235
21,Acinetobacter pittii,KRAS,16.374769092168055,0.00027957783604404637
22,Acinetobacter pittii,NF1,8.809622302838054,0.00027957783604404637
23,Acinetobacter pittii,FBXO38,7.209917328469622,0.00027957783604404637
24,Acinetobacter radioresistens,EGFR,8.645015270453163,0.0003480255532142243
25,Acinetobacter indicus,ROS1,13.445930151421127,0.00019889592595068978
26,Acinetobacter sp. YH16056_T,FBXO38,7.182654200321334,1.0446368577893925e-05
27,Acinetobacter sp. AOR07_HL,ROS1,11.697591948534283,0.0746396029807423
28,Acinetobacter sp. 10FS3-1,ROS1,19.332541880459246,0.00012849487088997612
29,Acinetobacter sp. KCTC 92772,NF1,12.849033683075964,8.648197841940459e-05
30,Acinetobacter sp. LoGeW2-3,KRAS,11.299062660422656,5.698624822461863e-06
31,Acinetobacter johnsonii,NF1,11.929972195614393,0.0015098830778801128
32,Acinetobacter bereziniae,KRAS,13.40781504246488,0.00022654050345073765
33,Acinetobacter bereziniae,ROS1,6.190631707171775,0.00022654050345073765
34,Acinetobacter schindleri,ROS1,8.129615541424075,6.704913990977956e-05
35,Acinetobacter colistiniresistens,ROS1,8.1274572351058,7.710270383589759e-06
36,Acinetobacter towneri,KRAS,26.13849223782902,0.00014565859097553628
37,Acinetobacter towneri,ROS1,15.345148149272012,0.00014565859097553628
38,Acinetobacter towneri,NF1,15.28625362886211,0.00014565859097553628
39,Moraxella bovis,KRAS,16.644114295607924,0.0001447994740889811
40,Moraxella bovis,FBXO38,17.637477539362823,0.0001447994740889811
41,Vibrio alginolyticus,KRAS,15.750132518657772,3.584031608794969e-05
42,Vibrio alginolyticus,NF1,8.161716964134296,3.584031608794969e-05
43,Vibrio natriegens,NF1,6.806103584252129,0.0011205643530896106
44,Vibrio natriegens,RB1,8.095168594996588,0.0011205643530896106
45,Vibrio cholerae,NF1,5.765175010048298,0.00038649964917993876
46,Vibrio coralliilyticus,KRAS,5.831648991531367,7.585428404045791e-06
47,Haemophilus influenzae,FBXO38,6.788094297784191,0.0021850037196970463
48,Aggregatibacter sp. 2125159857,RB1,8.001289396317405,0.00028467889498352654
49,Aggregatibacter sp. 2125159857,SFTPD,5.73048258878396,0.00028467889498352654
50,Aggregatibacter sp. 2125159857,MYC,19.736691685041414,0.00028467889498352654
51,Aggregatibacter sp. oral taxon 513,RB1,11.555756123021148,1.2064308201673621e-05
52,Pasteurella multocida,BRAF,7.370357788395688,0.009307147672887655
53,Mannheimia haemolytica,FBXO38,7.5338587683924345,0.00012727007370159912
54,Glaesserella parasuis,FBXO38,7.209917328469622,0.0004743455272030725
55,Actinobacillus equuli,IL17RD,11.458404733113847,0.00021187001298863902
56,Lysobacter sp. TY2-98,NF1,29.272290735040574,1.6549219285528033e-06
57,Stenotrophomonas sp. 59,TP53,10.184250550298845,1.5119177575595377e-05
58,Stenotrophomonas indicatrix,TP53,11.443372691186964,0.00039943112528933496
59,Xanthomonas campestris,FBXO38,13.815510557935518,3.1648673252318335e-05
60,Xanthomonas albilineans,FBXO38,7.089370802235405,1.0240736776773767e-06
61,Xanthomonas albilineans,EGFR,11.299584942027085,1.0240736776773767e-06
62,Xanthomonas albilineans,TP53,7.0656838986057515,1.0240736776773767e-06
63,Shewanella sp. Scap07,KRAS,17.01539983186044,5.1235565160612204e-08
64,Shewanella sp. Scap07,NF1,22.74366865021779,5.1235565160612204e-08
65,Alteromonas mediterranea,RB1,32.76650865612498,4.091859715060492e-06
66,Alteromonas mediterranea,MYC,24.842415845065556,4.091859715060492e-06
67,Succinivibrio dextrinosolvens,KRAS,18.765902091826973,3.6732154260642515e-05
68,Succinivibrio dextrinosolvens,NF1,26.092423840595607,3.6732154260642515e-05
69,Succinivibrio dextrinosolvens,FBXO38,25.158949158628037,3.6732154260642515e-05
70,Methylobacterium sp. 391_Methyba4,MET,11.720191151906304,0.0003247464341968254
71,Methylorubrum extorquens,BRAF,18.853924568311925,0.00019843614058129776
72,Phyllobacterium zundukense,TP53,6.764188660674977,4.6003803221448656e-05
73,Mesorhizobium terrae,EGFR,6.722558503482734,0.00024391526006163657
74,Mesorhizobium terrae,TP53,13.525428120953235,0.00024391526006163657
75,Bradyrhizobium sp. SK17,TP53,12.616695228370697,2.8600050755994836e-05
76,Bradyrhizobium sp. 200,NF1,18.839690540884842,1.0177505515776916e-05
77,Rhodoplanes sp. Z2-YC6860,FBXO38,15.143001361367746,1.1496756080599411e-05
78,Rhodoplanes sp. Z2-YC6860,FAM13A,8.815677532550318,1.1496756080599411e-05
79,Bartonella krasnovii,CHRNA5,6.654139077993072,4.550544618919687e-05
80,Phreatobacter stygius,MET,7.27765689484587,0.0001687455299273087
81,Phreatobacter cathodiphilus,FAM13A,5.79285541204732,1.1305352848373835e-05
82,Roseomonas fluvialis,PIK3CA,15.824390762448607,7.573071815279997e-05
83,Roseomonas haemaphysalidis,PIK3CA,8.953995483205,6.047781695524708e-05
84,Roseomonas marmotae,NF1,14.647387177429612,2.1800709634844103e-05
85,Roseomonas sp. OT10,FBXO38,12.957381621040396,2.1971058269399715e-05
86,Roseomonas sp. OT10,TP53,13.815510557935518,2.1971058269399715e-05
87,Roseomonas mucosa,NF1,13.595944436642712,2.5737612190714047e-05
88,Roseomonas mucosa,TP53,16.638564542008833,2.5737612190714047e-05
89,Roseococcus microcysteis,PIK3CA,24.19445570752838,8.433218449842604e-05
90,Lichenicola cladoniae,CHRNA3,10.37637452194124,1.5385323443318155e-05
91,Rhodovastum atsumiense,TP53,6.7454865921003115,1.1937914856611575e-05
92,Acidocella sp. MX-AZ03,NF1,14.796541192706227,4.105692624738797e-06
93,Sphingomonas aerolata,CHRM3,6.954978783724161,0.0004257294243419844
94,Novosphingobium ginsenosidimutans,MAP2K1,6.433908533066872,2.2744240881484753e-05
95,Novosphingobium ginsenosidimutans,TGFB2,8.097276368980232,2.2744240881484753e-05
96,Paracoccus yeei,TP53,8.16060539235747,0.00034318890366915255
97,Paracoccus marcusii,NF1,7.057830733200849,0.00035327433904017256
98,Paracoccus liaowanqingii,PIK3CA,35.35050620855721,3.0235302205305093e-05
99,Abyssibius alkaniclasticus,CHRNA3,6.672311129065865,2.083439147311386e-05
100,Cognatishimia activa,BRAF,7.551441748281848,6.447553573427915e-06
101,Brevundimonas sp. Bb-A,NF1,9.777973148564806,8.841227573917325e-05
102,Brevundimonas vesicularis,FAM13A,36.7368005696771,0.00011981929089337463
103,Caulobacter segnis,TGFB2,5.809834020121161,1.914701372917798e-05
104,Candidatus Pelagibacter giovannonii,MAP2K1,16.545329520732583,3.789149003321801e-07
105,Candidatus Pelagibacter giovannonii,RB1,7.573285471703075,3.789149003321801e-07
106,Candidatus Pelagibacter giovannonii,IL17RD,13.338694495333849,3.789149003321801e-07
107,Comamonas terrigena,PIK3CA,6.001062082610045,0.00027376289767719737
108,Comamonas terrigena,FBXO38,7.162024609598355,0.00027376289767719737
109,Acidovorax temperans,FAM13A,7.767529516118622,8.545528703918474e-05
110,Acidovorax carolinensis,MET,13.430372381208073,2.805325911485664e-05
111,Acidovorax carolinensis,ADGRG6,8.409144929256719,2.805325911485664e-05
112,Acidovorax carolinensis,TGFB2,12.750774867709447,2.805325911485664e-05
113,Hydrogenophaga sp. BPS33,MET,8.870359743025283,1.746344604393314e-05
114,Hydrogenophaga sp. BPS33,MFAP2,11.35865199229638,1.746344604393314e-05
115,Hydrogenophaga sp. BPS33,ITGA1,13.817310712896335,1.746344604393314e-05
116,Ottowia sp. oral taxon 894,CHRNA5,22.589809498754256,0.0004297492961907594
117,Variovorax paradoxus,EGFR,8.723086874631093,5.979125710648078e-05
118,Serpentinimonas maccroryi,ALK,13.815510557935518,2.300765766422947e-06
119,Polaromonas naphthalenivorans,FBXO38,8.184373079864896,1.7772147209353843e-05
120,Limnohabitans sp. 103DPR2,MYC,17.51468899951735,7.371040188285768e-06
121,Kinneretia sp. DAIF2,MET,7.211839571736282,1.0313224451014667e-05
122,Kinneretia sp. DAIF2,ADGRG6,7.4832297223933875,1.0313224451014667e-05
123,Kinneretia sp. DAIF2,ITGA1,6.489452294226232,1.0313224451014667e-05
124,Kinneretia sp. DAIF2,EGFR,12.616707008866038,1.0313224451014667e-05
125,Alicycliphilus denitrificans,NF1,6.515894540854225,0.00012007604742292798
126,Alicycliphilus denitrificans,EGFR,5.767041113853858,0.00012007604742292798
127,Ralstonia mannitolilytica,TP53,6.526987432872517,8.648592411132922e-05
128,Burkholderia glumae,TP53,10.750425448078387,1.9539432807734073e-05
129,Cupriavidus gilardii,KRAS,15.441102506766503,1.0605464993577947e-05
130,Polynucleobacter sp. HIN7,MYC,10.421456653225937,5.199134206908125e-07
131,Sphaerotilus sp. FB-5,MET,14.706558096876769,1.3558279202681961e-05
132,Ideonella dechloratans,BRAF,21.531806740575547,2.2745618277669788e-05
133,Ideonella dechloratans,FAM13A,14.089372695156406,2.2745618277669788e-05
134,Parazoarcus communis,BRAF,7.957530041805648,0.00016200944380355355
135,Ferribacterium limneticum,ADAMTSL3,6.092986371622745,6.908761895020529e-06
136,Ferribacterium limneticum,FBXO38,15.24064918157227,6.908761895020529e-06
137,Ferribacterium limneticum,TGFB2,22.520947334212828,6.908761895020529e-06
138,Neisseria meningitidis,BRAF,8.640118763613696,0.006573338716845519
139,Neisseria sicca,ADGRG6,7.284109389909645,0.0004214432772332305
140,Neisseria sicca,ITGA1,34.53957599234088,0.0004214432772332305
141,Kingella denitrificans,RB1,12.402386423116372,3.086591219860423e-05
142,Vogesella sp. XCS3,IL17RD,5.892195380579527,2.705579765488473e-05
143,Sulfuritalea hydrogenivorans,NF1,10.059117155357027,2.398322599689896e-06
