	start	end	weight	mean_relative_abundance
0	Actinomyces sp. oral taxon 414	HHIP	8.74813915292675	0.0004811469726336649
1	Serratia plymuthica	ADGRG6	7.889860238098995	0.00014252648653469117
2	Serratia plymuthica	HHIP	6.274012721979935	0.00014252648653469117
3	Serratia plymuthica	TP53	18.716093012080275	0.00014252648653469117
4	Serratia plymuthica	MYC	16.173230611963753	0.00014252648653469117
5	Roseburia intestinalis	HHIP	7.435615963972458	5.7773442811057737e-05
6	Actinomyces viscosus	ADGRG6	12.045023852182332	5.999200084253619e-05
7	Actinomyces viscosus	TP53	10.365977889267938	5.999200084253619e-05
8	Actinomyces viscosus	MYC	8.859255426249868	5.999200084253619e-05
9	Clostridium chauvoei	MAP2K1	10.065118348862047	2.4845270636886762e-05
10	Clostridium chauvoei	ADGRG6	11.113081390335244	2.4845270636886762e-05
11	Prevotella jejuni	ADGRG6	16.45383687632241	0.006463876547167891
12	Bacteroides caccae	ADGRG6	9.597474410210697	8.560192074527533e-05
13	Schaalia cardiffensis	HHIP	8.74813915292675	0.0004612256803398063
14	Delftia tsuruhatensis	ADGRG6	23.301894716430237	0.0018185617962690882
15	Fusarium pseudograminearum	TP53	7.093210352763828	0.0046367467021950935
16	Vibrio natriegens	RB1	10.36305046303695	1.616877979349803e-06
17	Methanocaldococcus vulcanius	NRG1	8.064497545079607	5.962735190361268e-07
18	Acinetobacter guillouiae	ADGRG6	26.597569183851025	3.279626743153141e-05
19	Acinetobacter bereziniae	CHRM3	8.361058462648268	7.731965576976035e-07
20	Acinetobacter bereziniae	CHIA	9.11842323113996	7.731965576976035e-07
21	Candidatus Pelagibacter sp. RS40	MAP2K1	17.73513924755178	1.6105804681829313e-05
22	Variovorax sp. RA8	AGER	5.775898880018308	8.18083162164573e-06
23	Sanguibacter keddieii	HHIP	7.435615963972458	1.0472550379083077e-05
24	Sanguibacter keddieii	TP53	21.283860932903455	1.0472550379083077e-05
25	Sanguibacter keddieii	MYC	18.716093012080275	1.0472550379083077e-05
26	Chlamydia trachomatis	MAP2K1	11.953973439558677	7.483655322499214e-05
27	Acinetobacter indicus	ADGRG6	13.941572034007867	9.853852560971572e-06
28	Acinetobacter indicus	TP53	28.049864603673768	9.853852560971572e-06
29	Acinetobacter indicus	MYC	25.365323468291248	9.853852560971572e-06
30	Calothrix parietina	ADGRG6	7.412139072670748	0.0076486152210851425
31	Muribaculum intestinale	ADGRG6	11.629298359890022	1.8603526162824564e-05
32	Mycolicibacterium helvum	AGER	5.775898880018308	1.571225821995737e-06
33	Corynebacterium bovis	MAP2K1	5.893451023291935	0.00016583154264691597
34	Micrococcus sp. KBS0714	AKT1	8.373178436825558	4.251375843840117e-05
35	Achromobacter deleyi	ADGRG6	30.569284078788762	0.0010090291327642274
36	Achromobacter deleyi	HHIP	6.274012721979935	0.0010090291327642274
37	Rhizobium pusense	ADGRG6	13.941572034007867	0.00024330913890448032
38	Rhizobium pusense	HHIP	10.162083771048199	0.00024330913890448032
39	Rhizobium pusense	TP53	5.724671842916006	0.00024330913890448032
40	Fusarium venenatum	ADGRG6	25.416356094214265	0.0009908231473425482
41	Fusarium venenatum	TP53	14.470109358890983	0.0009908231473425482
42	Fusarium venenatum	MYC	26.20654605259797	0.0009908231473425482
43	Hydrogenophaga sp. PBC	HHIP	5.72456171165633	2.881855341065751e-05
44	Butyrivibrio fibrisolvens	ADGRG6	11.629298359890022	0.0007153630486619469
45	Prevotella ruminicola	HHIP	7.435615963972458	0.0007035310937957439
46	Lactobacillus delbrueckii	ADGRG6	30.569284078788762	0.002240133518329062
47	Lactobacillus delbrueckii	HHIP	6.274012721979935	0.002240133518329062
48	Corynebacterium matruchotii	TP53	8.805509918317613	0.00036608332883654893
49	Ramlibacter tataouinensis	ADGRG6	13.941572034007867	0.00011233663511275815
50	Ramlibacter tataouinensis	HHIP	10.162083771048199	0.00011233663511275815
51	Ramlibacter tataouinensis	TP53	5.724671842916006	0.00011233663511275815
52	Bacteroides xylanisolvens	PIK3CA	20.77388998333758	7.06264985274308e-06
53	Actinomyces sp. Chiba101	MAP2K1	14.320065357310428	1.998641314211891e-05
54	Moraxella cuniculi	CHRNA5	17.02868286310704	3.435975943286781e-06
55	Moraxella osloensis	ADGRG6	7.412139072670748	0.0002861868595397428
56	Sphingomonas sp. FARSPH	ADGRG6	19.562758023976965	5.080428990371976e-05
57	Sphingomonas sp. FARSPH	TP53	9.497748733470107	5.080428990371976e-05
58	Sneathia amnii	TP53	8.805509918317613	5.1844189219963964e-05
59	Lachnoclostridium phytofermentans	ADGRG6	11.629298359890022	0.00011396472127963909
60	Prochlorococcus marinus	ADGRG6	7.412139072670748	0.0010961047147130753
61	Clostridium sp. 'deep sea'	ADGRG6	24.28526726244169	4.3897859741216374e-05
62	Clostridium sp. 'deep sea'	HHIP	7.435615963972458	4.3897859741216374e-05
63	Campylobacter coli	MAP2K1	5.893451023291935	9.493303691323308e-05
64	Campylobacter coli	TP53	10.22840834121478	9.493303691323308e-05
65	Campylobacter coli	MYC	7.816769150952079	9.493303691323308e-05
66	Azospirillum brasilense	HHIP	9.427852364041108	1.1358394675927296e-05
67	Azospirillum brasilense	TP53	14.106965908113335	1.1358394675927296e-05
68	Fusobacterium varium	ITGA1	9.640230624669124	7.972811560241792e-06
69	Neisseria elongata	HHIP	17.104745952997334	0.00013082657132198008
70	Neisseria elongata	TGFB2	31.99186844131385	0.00013082657132198008
71	Neisseria sicca	TP53	14.470109358890983	9.72417807924623e-05
72	Neisseria sicca	MYC	26.20654605259797	9.72417807924623e-05
73	Curtobacterium sp. Csp2	NPNT	5.74562573926179	3.0603567518467033e-06
74	Schaalia odontolytica	HHIP	8.74813915292675	0.014399789298189124
75	Selenomonas ruminantium	RB1	9.497748733470107	0.0011603302930485106
76	Mitsuaria sp. 7	ADGRG6	7.412139072670748	5.052100087758198e-05
77	Achromobacter xylosoxidans	ADGRG6	13.941572034007867	0.001019990607822097
78	Achromobacter xylosoxidans	HHIP	10.162083771048199	0.001019990607822097
79	Achromobacter xylosoxidans	TP53	5.724671842916006	0.001019990607822097
80	Brevundimonas sp. Bb-A	ADGRG6	7.412139072670748	0.002634328418475352
81	Bifidobacterium breve	ADGRG6	30.569284078788762	0.00037840904069447076
82	Bifidobacterium breve	TP53	18.716093012080275	0.00037840904069447076
83	Bifidobacterium dentium	RB1	6.470255160632494	0.0006876929207591516
84	Corynebacterium geronticis	MAP2K1	17.64503658349865	0.00022514857110953628
85	Corynebacterium sp. ATCC 6931	TP53	24.28526726244169	2.735364497377133e-05
86	Corynebacterium sp. ATCC 6931	MYC	14.24968967153173	2.735364497377133e-05
87	Pseudomonas syringae	ADGRG6	13.598280627591144	2.7026809551577005e-05
88	Hydrogenophaga sp. NH-16	ADGRG6	7.412139072670748	0.0010893361091251484
89	Phaeobacter gallaeciensis	CHRM3	15.647018278413979	1.0246281751693092e-05
90	Phaeobacter gallaeciensis	CHIA	29.540863343201533	1.0246281751693092e-05
91	Cupriavidus pauculus	ADGRG6	11.629298359890022	8.687863890994488e-06
92	Cupriavidus pauculus	TP53	8.805509918317613	8.687863890994488e-06
93	Cupriavidus pauculus	MYC	18.59632762031308	8.687863890994488e-06
94	Butyricimonas faecalis	HHIP	7.435615963972458	7.081200106518594e-05
95	Dysosmobacter welbionis	RET	15.035419603247238	6.750557811630452e-06
96	Curtobacterium flaccumfaciens	ADGRG6	30.569284078788762	2.007772954968996e-05
97	Curtobacterium flaccumfaciens	TP53	18.716093012080275	2.007772954968996e-05
98	Acinetobacter ursingii	ADGRG6	13.941572034007867	3.417696618083703e-05
