,taxa
9,Flavobacterium succinicans
51,Bacteroides acidifaciens
54,Prevotella copri
89,Parabacteroides gordonii
97,Desulfovibrio C21_c20
98,Peredibacter starrii
99,Mucispirillum schaedleri
105,Reyranella massiliensis
116,Methylobacterium organophilum
119,Roseomonas lacus
183,Ruminococcus lactaris
187,[Ruminococcus] gnavus
287,Clostridium methylpentosum
310,Butyricicoccus pullicaecorum
355,Clostridium colinum
357,Clostridium butyricum
358,Clostridium bowmanii
370,Clostridium cocleatum
380,Staphylococcus sciuri
382,Leuconostoc mesenteroides
398,Acutodesmus obliquus
401,Candidatus Microthrix parvicella
408,Candidatus Aquiluna rubra
413,Mycobacterium vaccae
425,Olsenella uli
440,Akkermansia muciniphila
465,Pseudomonas umsongensis
476,Methylotenera mobilis
491,Limnohabitans curvus
