,taxa
0,Methylobacterium aquaticum
1,Methylobacterium oryzae
2,Dinoroseobacter shibae
3,Algicella marina
4,Oceanicola sp. D3
5,Sphingomonas hankookensis
6,Paracoccus mutanolyticus
7,Rhodobacter capsulatus
8,Paracoccus sediminicola
9,Acinetobacter guillouiae
10,Acinetobacter sp. LUNF3
11,Bosea sp. AS-1
12,Sphingomonas koreensis
13,Diaphorobacter sp. JS3051
14,Methylobacterium durans
15,Sphingomonas sp.
16,Paracoccus suum
17,Alicycliphilus denitrificans
18,Skermanella mucosa
19,Paracoccus marcusii
20,Paracoccus aminophilus
21,Acidovorax sp. KKS102
22,Paracoccus sp. SCSIO 75233
23,Frigidibacter mobilis
24,Novosphingobium sp. EMRT-2
25,Paracoccus sp. Arc7-R13
26,Abyssibius alkaniclasticus
27,Roseovarius tolerans
28,Paracoccus contaminans
29,Paracoccus aminovorans
30,Rhodobacter sp. CZR27
31,Massilia varians
32,Polymorphum gilvum
33,Thioclava electrotropha
34,Tabrizicola piscis
35,Acidovorax sp. 1608163
36,Falsirhodobacter sp. PG104
37,Sphingomonas sanxanigenens
38,Roseibacterium elongatum
39,Paracoccus yeei
40,Luteimonas sp. MC1750
41,Paracoccus sp. MA
42,Sphingomonas cannabina
43,Sphingobium xenophagum
44,Methylobacterium sp. XJLW
45,Sphingomonas sp. NIBR02145
46,Skermanella pratensis
47,Deinococcus radiodurans
48,Sphingomonas sp. MM-1
49,Paracoccus denitrificans
50,Agrobacterium pusense
51,Paracoccus sp. TOH
52,Paracoccus fistulariae
53,Aureimonas sp. AU20
54,Ottowia testudinis
55,Candida parapsilosis
56,Methylobacterium radiodurans
57,Phreatobacter stygius
58,Rhodobacter sp. LPB0142
59,Brevundimonas sp. GW460-12-10-14-LB2
60,Psychrobacter sp. WB2
61,Rhizorhabdus wittichii
62,Sphingomonas glaciei
63,Naganishia albida
64,Roseomonas sp. OT10
65,Sphingobium cloacae
66,Roseomonas haemaphysalidis
67,Methylobacterium sp. 391_Methyba4
68,Paroceanicella profunda
69,Sphingomonas melonis
70,Sphingobium sp. YC-XJ3
71,Sphingobium sp. TKS
72,Mesorhizobium terrae
73,Methylobacterium indicum
74,Gordonia otitidis
75,Brevundimonas mediterranea
76,Paracoccus everestensis
77,Sphingopyxis fribergensis
78,Anabaena sp. YBS01
79,Sinirhodobacter sp. HNIBRBA609
80,Gordonia sp. 135
81,Roseomonas marmotae
82,Pelagovum pacificum
83,Roseococcus microcysteis
84,Corynebacterium segmentosum
85,Methylorubrum sp. B1-46
