	start	end	weight	mean_relative_abundance
0	Abiotrophia defectiva	NPNT	11.066792192523677	0.000273108531848752
1	Abiotrophia defectiva	MYC	7.355054631506804	0.000273108531848752
2	Abyssibius alkaniclasticus	CHIA	10.923674108547576	2.0772673090104785e-06
3	Acidihalobacter ferrooxydans	FAM13A	11.796667116804707	3.1709696497906702e-06
4	Acidovorax carolinensis	MFAP2	9.094737526414562	4.1164102091841655e-05
5	Acidovorax sp. 1608163	MAP2K1	7.28244690804902	9.967560125937338e-06
6	Acinetobacter bereziniae	RET	15.659270077705928	6.340402280905727e-07
7	Acinetobacter bereziniae	IL10	9.160602809890596	6.340402280905727e-07
8	Acinetobacter colistiniresistens	RET	20.38123843211739	1.953870485545608e-07
9	Acinetobacter colistiniresistens	CHIA	5.957813350195561	1.953870485545608e-07
10	Acinetobacter colistiniresistens	IL10	13.765279821327955	1.953870485545608e-07
11	Acinetobacter dispersus	CHIA	8.044587846019082	2.463175829249696e-07
12	Acinetobacter dispersus	CHRNA3	7.024267106588419	2.463175829249696e-07
13	Acinetobacter dispersus	CHRNB4	20.6939926326481	2.463175829249696e-07
14	Acinetobacter guillouiae	MET	7.178854181976789	1.235047561421897e-06
15	Acinetobacter indicus	PIK3CA	13.828085943294322	1.217429252942357e-05
16	Acinetobacter schindleri	PIK3CA	7.750244944470914	1.3435481493282568e-05
17	Acinetobacter septicus	AGER	14.118973651949089	4.1597107439212795e-06
18	Acinetobacter sp. ACNIH2	PIK3CA	7.024267106588419	1.3649544551299195e-06
19	Acinetobacter sp. ASP199	RET	20.38123843211739	9.76935242772804e-08
20	Acinetobacter sp. ASP199	CHIA	5.957813350195561	9.76935242772804e-08
21	Acinetobacter sp. ASP199	IL10	13.765279821327955	9.76935242772804e-08
22	Acinetobacter sp. C32I	CHIA	8.044587846019082	2.873705134124645e-07
23	Acinetobacter sp. C32I	CHRNA3	7.024267106588419	2.873705134124645e-07
24	Acinetobacter sp. C32I	CHRNB4	20.6939926326481	2.873705134124645e-07
25	Acinetobacter sp. LUNF3	ADGRG6	11.827008855986923	0.0001803136551053946
26	Acinetobacter sp. MYb10	KRAS	7.822679033798247	6.33852575858659e-07
27	Acinetobacter sp. MYb10	MET	16.910753032758056	6.33852575858659e-07
28	Acinetobacter sp. MYb10	IL10	8.241272658685997	6.33852575858659e-07
29	Acinetobacter sp. TAC-1	CHIA	8.044587846019082	9.442174012123833e-07
30	Acinetobacter sp. TAC-1	CHRNA3	7.024267106588419	9.442174012123833e-07
31	Acinetobacter sp. TAC-1	CHRNB4	20.6939926326481	9.442174012123833e-07
32	Acinetobacter sp. WCHA55	PIK3CA	7.024267106588419	9.49769329674769e-07
33	Acinetobacter sp. YH16040_T	RET	20.38123843211739	2.767983187856278e-07
34	Acinetobacter sp. YH16040_T	CHIA	5.957813350195561	2.767983187856278e-07
35	Acinetobacter sp. YH16040_T	IL10	13.765279821327955	2.767983187856278e-07
36	Acinetobacter sp. YH16056_T	RET	20.38123843211739	5.535966375712556e-07
37	Acinetobacter sp. YH16056_T	CHIA	5.957813350195561	5.535966375712556e-07
38	Acinetobacter sp. YH16056_T	IL10	13.765279821327955	5.535966375712556e-07
39	Acinetobacter ursingii	FAM13A	13.16574367266398	3.269797555221049e-06
40	Acinetobacter vivianii	CHIA	8.044587846019082	1.667923918518402e-07
41	Acinetobacter vivianii	CHRNA3	7.024267106588419	1.667923918518402e-07
42	Acinetobacter vivianii	CHRNB4	20.6939926326481	1.667923918518402e-07
43	Actinobacillus equuli	ERBB2	17.633095680630543	4.344081093703672e-05
44	Actinobacillus equuli	MFAP2	7.180596008707309	4.344081093703672e-05
45	Actinobacillus equuli	EGFR	8.604857122505646	4.344081093703672e-05
46	Actinomyces gaoshouyii	BRAF	7.723503791487824	6.500570769628309e-06
47	Actinomyces howellii	TP53	8.84649632445287	2.0415645571615754e-05
48	Actinomyces massiliensis	SERPINA1	6.4038549311381034	0.00013420434073636845
49	Actinomyces radicidentis	TP53	10.013403424417964	2.043267316328345e-05
50	Actinomyces viscosus	CHIA	9.839685268825624	9.153443787971088e-05
51	Actinotignum urinale	KRAS	6.889747358958401	1.2314105513348924e-05
52	Actinotignum urinale	BRAF	12.55530313763373	1.2314105513348924e-05
53	Aeromicrobium erythreum	CDKN2A	8.07373713703014	1.8913005050154966e-05
54	Aeromonas dhakensis	MET	18.48067203269557	1.4434850364145217e-05
55	Aeromonas salmonicida	AKT1	7.921229192234969	2.6438950617271563e-05
56	Aeromonas veronii	TP53	6.710743651711342	0.0002986790451628133
57	Aestuariispira ectoiniformans	ADAMTSL3	7.061717194561136	9.957323768433899e-06
58	Aggregatibacter aphrophilus	CHIA	6.5945147957928585	0.0016837274253534945
59	Akkermansia muciniphila	TP53	10.830027275994834	9.527311496568679e-06
60	Algoriphagus sp. NBT04N3	AKT1	14.61643351485891	5.256172833290841e-07
61	Algoriphagus sp. NBT04N3	TP53	11.3387596220451	5.256172833290841e-07
62	Algoriphagus sp. Y33	FAM13A	7.312182467781742	1.8111743966902412e-06
63	Aliiroseovarius crassostreae	CHIA	7.287262043647533	2.8096193251942313e-06
64	Aliiroseovarius sp. M344	AKT1	5.743275763991937	1.099789611943453e-06
65	Aliivibrio fischeri	BRAF	14.467864708101652	6.15668366043881e-05
66	Aliivibrio fischeri	MET	7.288102962238384	6.15668366043881e-05
67	Aliivibrio fischeri	IL10	6.496121202440387	6.15668366043881e-05
68	Alteromonas sp. B31-7	CHIA	9.839685268825624	1.2180725876699457e-06
69	Anaerostipes hadrus	EGFR	7.858383601171183	4.613913476164446e-05
70	Anaposvirus socalone	CHIA	8.044587846019082	2.515806814213705e-07
71	Antarcticibacterium flavum	FAM13A	7.312182467781742	2.5073494496154175e-06
72	Aquaspirillum sp. LM1	BRAF	9.923246846787839	1.6926118971925337e-06
73	Aquiluna sp. KACHI24	MAP2K1	13.438267128251669	3.2673269304881914e-06
74	Aquirufa antheringensis	MAP2K1	6.990213323652343	3.515768379833208e-06
75	Aquirufa lenticrescens	MAP2K1	6.990213323652343	4.946135897168024e-06
76	Arachnia rubra	NRG1	5.721225000070478	0.00011909370041685211
77	Arachnia rubra	ADGRG6	7.922263341838458	0.00011909370041685211
78	Arthrobacter koreensis	KRAS	7.822679033798247	1.89002991313436e-06
79	Atopobium sp. oral taxon 416	EGFR	6.7857553274457905	1.753309938625772e-05
80	Azospirillum argentinense	KRAS	13.224483144004681	3.779684364077405e-05
81	Azospirillum argentinense	BRAF	9.923246846787839	3.779684364077405e-05
82	Bacillus altitudinis	ADGRG6	9.020745572334524	0.00017746096803025627
83	Bacillus amyloliquefaciens	MAP2K1	20.932708516385716	4.3733553403089667e-05
84	Bacillus anthracis	KRAS	9.735147254876717	7.103343700206424e-05
85	Bacillus anthracis	MET	13.89904059667906	7.103343700206424e-05
86	Bacillus subtilis	MET	11.00509048565917	0.00041851957610836106
87	Bacillus velezensis	HHIP	12.159037601379502	0.0008785988517267795
88	Bacteroides fragilis	SERPINA1	9.373921466562875	0.00028273428141387634
89	Bacteroides intestinalis	MYC	9.148038702320644	3.433585263157727e-05
90	Bacteroides ovatus	ERBB2	8.300379273787245	9.968897095438585e-05
91	Bacteroides sp. CACC 737	CHIA	8.044587846019082	1.3950843180544357e-06
92	Bacteroides sp. HF-162	RET	20.38123843211739	1.2130279264428984e-06
93	Bacteroides sp. HF-162	CHIA	5.957813350195561	1.2130279264428984e-06
94	Bacteroides sp. HF-162	IL10	13.765279821327955	1.2130279264428984e-06
95	Bacteroides xylanisolvens	MFAP2	6.471298701938785	0.00010213840862494084
96	Bacteroides zoogleoformans	RET	11.338008335758754	0.0002904210311056956
97	Bartonella apihabitans	AGER	10.42845261411935	2.6631269801001612e-06
98	Bdellovibrio bacteriovorus	HHIP	12.159037601379502	0.00016057846708090754
99	Bergeyella cardium	CHIA	5.957813350195561	0.0004549107796481037
100	Besnoitia besnoiti	MET	7.288102962238384	0.00010983656588767205
101	Besnoitia besnoiti	IL10	6.496121202440387	0.00010983656588767205
102	Beutenbergia cavernae	ADGRG6	18.85796434965664	0.00023698867782398814
103	Bifidobacterium animalis	KRAS	7.822679033798247	4.535225206932107e-06
104	Bifidobacterium animalis	MET	16.910753032758056	4.535225206932107e-06
105	Bifidobacterium animalis	IL10	8.241272658685997	4.535225206932107e-06
106	Bifidobacterium pseudocatenulatum	KRAS	7.822679033798247	6.709084648296502e-07
107	Bifidobacterium pseudocatenulatum	PIK3CA	7.024267106588419	6.709084648296502e-07
108	Blautia obeum	EGFR	11.541982115468747	4.785816069795494e-05
109	Bordetella pertussis	RET	20.38123843211739	3.744918430629082e-07
110	Bordetella pertussis	CHIA	5.957813350195561	3.744918430629082e-07
111	Bordetella pertussis	IL10	13.765279821327955	3.744918430629082e-07
112	Borrelia miyamotoi	FAM13A	9.402207243214281	5.239678332921759e-07
113	Bradyrhizobium arachidis	ITGA1	17.89108546395513	0.00017727161944219025
114	Bradyrhizobium sediminis	MET	14.078793995388608	2.0663283096789214e-05
