	start	end	weight	mean_relative_abundance
0	Roseburia intestinalis	CHRNA5	9.036428750133954	4.473313618770584e-06
1	Prevotella jejuni	ROS1	5.906532960412169	0.002600824953989171
2	Schaalia cardiffensis	CDKN2A	11.402192448359838	8.620140183803068e-06
3	Delftia tsuruhatensis	TP53	27.667793373817563	8.124412755669274e-06
4	Mycobacterium intracellulare	CHIA	23.52850539782272	9.399166164764863e-05
5	Psychromonas sp. CNPT3	CHRNA5	6.867702002062199	1.0900379383232537e-06
6	Acinetobacter guillouiae	MAP2K1	6.304910629417808	5.275116748682541e-06
7	Sanguibacter keddieii	CHIA	25.851122191490116	1.258085218754229e-06
8	Streptococcus sp. FDAARGOS_192	AGER	5.6631405660379555	0.00011646982127701724
9	Streptococcus cristatus	ERBB2	27.87219520160132	0.00010229264318562672
10	Streptococcus cristatus	RET	27.87219520160132	0.00010229264318562672
11	Streptococcus cristatus	MET	27.87219520160132	0.00010229264318562672
12	Streptococcus cristatus	MFAP2	7.5599403926952204	0.00010229264318562672
13	Streptococcus cristatus	ADAMTSL3	27.87219520160132	0.00010229264318562672
14	Streptococcus cristatus	IL17RD	36.04365338911715	0.00010229264318562672
15	Streptococcus cristatus	NPNT	7.5599403926952204	0.00010229264318562672
16	Streptococcus cristatus	CDKN2A	15.12287660587139	0.00010229264318562672
17	Streptococcus cristatus	EGFR	7.5599403926952204	0.00010229264318562672
18	Auritidibacter sp. NML130574	CHIA	20.751296067796552	1.179653171972652e-06
19	Capnocytophaga sp. FDAARGOS_737	ERBB2	11.7528925922114	2.3958109593358924e-05
20	Capnocytophaga sp. FDAARGOS_737	RET	11.7528925922114	2.3958109593358924e-05
21	Capnocytophaga sp. FDAARGOS_737	MET	11.7528925922114	2.3958109593358924e-05
22	Capnocytophaga sp. FDAARGOS_737	NF1	9.4363901898656	2.3958109593358924e-05
23	Capnocytophaga sp. FDAARGOS_737	MFAP2	21.80083567351655	2.3958109593358924e-05
24	Capnocytophaga sp. FDAARGOS_737	ADAMTSL3	11.7528925922114	2.3958109593358924e-05
25	Capnocytophaga sp. FDAARGOS_737	NPNT	21.80083567351655	2.3958109593358924e-05
26	Capnocytophaga sp. FDAARGOS_737	EGFR	21.80083567351655	2.3958109593358924e-05
27	Octadecabacter temperatus	CHIA	21.42596256209415	4.1357200298627794e-07
28	Octadecabacter temperatus	TP53	16.628566385127485	4.1357200298627794e-07
29	Mycolicibacterium helvum	TP53	6.229852477541523	1.1036205131000501e-06
30	Corynebacterium bovis	CHIA	34.790890420621785	8.955722009788012e-07
31	Corynebacterium bovis	TP53	27.667793373817563	8.955722009788012e-07
32	Micrococcus sp. KBS0714	CHRM3	10.654121338413114	8.80456075544295e-06
33	Monaibacterium sp. ALG8	CHIA	11.122235780486504	7.123511920675041e-07
