	start	end	weight	mean_relative_abundance
0	Roseburia intestinalis	ADGRG6	9.264099553536555	2.9068986926957825e-06
1	Olivibacter sp. LS-1	ITGA1	17.244002557341613	1.5609263539614965e-06
2	Cryptococcus neoformans	ADGRG6	12.528208449667396	6.470666836497941e-06
3	Mycobacterium intracellulare	ADGRG6	8.011109802986681	0.00011558645532990913
4	Psychromonas sp. CNPT3	ADGRG6	9.264099553536555	9.819214555136218e-07
5	Acinetobacter bereziniae	ADGRG6	9.264099553536555	1.5114163061846342e-06
6	Streptococcus cristatus	ERBB2	8.043875651218157	1.7369041902895273e-05
7	Streptococcus cristatus	MFAP2	8.011109802986681	1.7369041902895273e-05
8	Bacteroides thetaiotaomicron	ADGRG6	5.777487395989592	4.654002690757717e-06
9	Bacteroides fragilis	ADGRG6	8.011109802986681	4.200360288378258e-05
10	Acinetobacter indicus	ADGRG6	10.764419192121165	2.4488039819806457e-06
11	Acinetobacter indicus	TGFB2	28.480193225050943	2.4488039819806457e-06
12	Synechococcus sp. BIOS-E4-1	ADGRG6	8.011109802986681	5.855935203806836e-07
13	Synechococcus sp. PROS-U-1	ADGRG6	10.764419192121165	9.156429280324616e-07
14	Calothrix parietina	TGFB2	11.284657994018913	1.6115914617523309e-06
15	Neptunomonas phycophila	ADGRG6	8.011109802986681	0.0011427160883544004
16	Leptotrichia shahii	ADGRG6	6.814094537183367	3.761604272912035e-06
17	Monaibacterium sp. ALG8	TP53	12.388750444477468	4.1042276103997244e-07
18	Fusarium venenatum	ADGRG6	8.011109802986681	1.7605467093001808e-05
19	Butyrivibrio fibrisolvens	ADGRG6	10.764419192121165	2.0845263439607036e-06
20	Porphyromonas gingivalis	CHRNA3	12.528208449667396	1.4294030858075534e-05
21	Lactiplantibacillus pentosus	ADGRG6	5.777487395989592	1.1198565211024419e-06
22	Lactiplantibacillus pentosus	TGFB2	18.378296987733236	1.1198565211024419e-06
23	Lactobacillus helveticus	ADGRG6	8.011109802986681	6.421229776001633e-06
24	Vagococcus teuberi	TGFB2	7.702313021842852	8.359395302742089e-07
25	Mycolicibacterium vanbaalenii	TP53	11.027269355810905	7.174943213083196e-07
26	Helicobacter cinaedi	ADGRG6	8.011109802986681	0.0007235861046992735
27	Helicobacter pylori	ADGRG6	8.011109802986681	2.075452641891519e-05
28	Phocaeicola salanitronis	ADGRG6	9.264099553536555	2.2392316458375593e-06
29	Oscillatoria nigro-viridis	TP53	13.98605647904453	4.836795811129691e-06
30	Moraxella cuniculi	MYC	5.665907795391527	1.0395070877551762e-06
31	Clostridium sp. 'deep sea'	TGFB2	12.508672674252907	4.623678262851678e-06
32	Campylobacter coli	TGFB2	16.725427274889217	3.844163958368313e-06
33	Arachidicoccus sp. B3-10	TGFB2	12.508672674252907	3.852497507412215e-06
34	Pseudomonas simiae	ADGRG6	8.011109802986681	8.45221575894104e-07
35	Fusobacterium varium	ADGRG6	12.528208449667396	8.015343773497018e-06
36	Fusobacterium necrophorum	ADGRG6	5.777487395989592	3.0686622251379982e-06
37	Neisseria subflava	ERBB2	5.777487395989592	7.1418548037672516e-06
38	Neisseria subflava	MFAP2	21.49980709412999	7.1418548037672516e-06
39	Streptococcus salivarius	MFAP2	8.583040712140441	0.0004097238481104877
40	Streptococcus gordonii	MFAP2	15.868311358120105	4.289376834020983e-05
41	Streptococcus gordonii	IL10	6.745810880991177	4.289376834020983e-05
42	Streptococcus mutans	ADGRG6	5.777487395989592	3.7251237985835475e-06
43	Streptococcus mutans	TGFB2	18.378296987733236	3.7251237985835475e-06
44	Neisseria elongata	SFTPD	7.1970100941746065	1.2651016915825046e-06
45	Methylobacterium nodulans	ADGRG6	10.764419192121165	2.9409154738966053e-06
46	Schaalia odontolytica	MFAP2	8.583040712140441	0.0004826107670930111
47	Aspergillus fumigatus	ADGRG6	12.528208449667396	2.417994071969181e-06
48	Brevibacillus laterosporus	ADGRG6	9.264099553536555	0.0001551465736679933
49	Paenibacillus larvae	ADGRG6	9.264099553536555	1.844056772252239e-06
50	Butyricimonas faecalis	ADGRG6	14.579278669568986	1.6550731713257945e-06
51	Butyricimonas faecalis	TGFB2	5.828296628144729	1.6550731713257945e-06
52	Candidatus Pelagibacter sp. FZCC0015	ADGRG6	8.011109802986681	1.182346335295399e-06
53	Lacticaseibacillus rhamnosus	ADGRG6	8.011109802986681	1.4881835173719322e-06
54	Streptococcus anginosus	ERBB2	6.990803064472335	1.1812910460330503e-05
