	start	end	weight	mean_relative_abundance
0	Acetobacter aceti	CHRNA3	6.90703481386689	2.7128201932793998e-05
1	Acholeplasma laidlawii	CHRNA5	5.961008749689444	5.149705952086669e-05
2	Achromobacter deleyi	ADGRG6	6.01018255337184	3.990861678899656e-06
3	Achromobacter xylosoxidans	AKT1	18.19997908011093	8.934705545711452e-05
4	Achromobacter xylosoxidans	EGFR	9.982507388804024	8.934705545711452e-05
5	Acidisoma sp. PAMC 29798	CHRNA5	8.703251950117169	1.2205172730244646e-05
6	Acidisoma sp. PAMC 29798	CHRNA3	10.464769123117428	1.2205172730244646e-05
7	Acidovorax carolinensis	EGFR	10.498716290841887	7.787598362831593e-05
8	Acidovorax sp. KKS102	AKT1	5.9520960619818055	9.227792082645923e-05
9	Acidovorax sp. KKS102	EGFR	8.981657155293828	9.227792082645923e-05
10	Acidovorax sp. RAC01	AKT1	8.957724792298944	3.107522461789291e-05
11	Acinetobacter baumannii	MYC	33.5179247448089	0.005385300867820375
12	Acinetobacter bereziniae	MYC	11.379255019905282	1.354311799347344e-05
13	Acinetobacter calcoaceticus	MFAP2	6.874436908609431	5.291498809761014e-05
14	Acinetobacter colistiniresistens	ALK	14.401663851367218	0.0001055588733455187
15	Acinetobacter colistiniresistens	MYC	16.15116540392861	0.0001055588733455187
16	Acinetobacter dispersus	ALK	14.01797194773215	0.00015676355063870299
17	Acinetobacter dispersus	MYC	15.64627557591416	0.00015676355063870299
18	Acinetobacter guillouiae	ALK	8.080685754291292	1.4527483939236213e-05
19	Acinetobacter guillouiae	MYC	7.491985481487303	1.4527483939236213e-05
20	Acinetobacter haemolyticus	ALK	19.131603513274197	5.952227710689971e-05
21	Acinetobacter haemolyticus	MYC	10.041499204763108	5.952227710689971e-05
22	Acinetobacter indicus	NPNT	6.87824702085119	0.0001585670274211815
23	Acinetobacter johnsonii	BRAF	15.596446373089728	0.0031291688766757527
24	Acinetobacter pittii	BRAF	10.370601602729417	0.0015559976062433556
25	Acinetobacter seifertii	ERBB2	7.72584793959671	0.00012217967726721202
26	Acinetobacter seifertii	EGFR	9.8548458024152	0.00012217967726721202
27	Acinetobacter sp. ASP199	ALK	7.114149167816447	3.8894798840073054e-05
28	Acinetobacter sp. ASP199	MYC	6.226844515714059	3.8894798840073054e-05
29	Acinetobacter sp. C32I	ALK	6.2068875801112995	0.000758067989679965
30	Acinetobacter sp. C32I	MYC	17.681019795578823	0.000758067989679965
31	Acinetobacter sp. CS-2	ALK	15.070817691596863	0.0008012251086475408
32	Acinetobacter sp. CS-2	MYC	10.667868521601159	0.0008012251086475408
33	Acinetobacter sp. KCTC 92772	MYC	8.925632840398638	3.58715660641045e-05
34	Acinetobacter sp. LUNF3	EGFR	7.101412596458852	0.0003684311715655418
35	Acinetobacter sp. LoGeW2-3	ALK	8.587715882264465	5.302042110442123e-05
36	Acinetobacter sp. LoGeW2-3	MYC	8.160309635445099	5.302042110442123e-05
37	Acinetobacter sp. NCu2D-2	ALK	8.080685754291292	5.02653860262872e-05
38	Acinetobacter sp. NCu2D-2	MYC	7.491985481487303	5.02653860262872e-05
39	Acinetobacter sp. SCLZS86	MYC	11.915986373817065	5.246634393809896e-05
40	Acinetobacter sp. TGL-Y2	ALK	10.209591438920391	7.529885574937313e-05
41	Acinetobacter sp. TGL-Y2	MYC	25.613959110776737	7.529885574937313e-05
42	Acinetobacter sp. TTH0-4	ALK	15.070817691596863	0.0004763575729409173
43	Acinetobacter sp. TTH0-4	MYC	23.962432768276628	0.0004763575729409173
44	Acinetobacter sp. WCHA45	ALK	17.753927884637434	4.99935117872051e-05
45	Acinetobacter sp. WCHA45	MYC	28.473725733874506	4.99935117872051e-05
46	Acinetobacter sp. YH16040_T	ALK	18.912090786797688	4.358145348574633e-05
47	Acinetobacter sp. YH16040_T	MYC	23.03358563081652	4.358145348574633e-05
48	Acinetobacter sp. YH16056_T	ALK	14.01797194773215	4.788551856572846e-05
49	Acinetobacter sp. YH16056_T	MYC	15.64627557591416	4.788551856572846e-05
50	Acinetobacter sp. Z1	ALK	18.332883260249506	5.947417659549555e-05
51	Acinetobacter sp. Z1	MYC	29.472070391747234	5.947417659549555e-05
52	Acinetobacter terrestris	ALK	14.01797194773215	7.184538775745947e-05
53	Acinetobacter terrestris	MYC	15.64627557591416	7.184538775745947e-05
54	Acinetobacter ursingii	EGFR	9.843603632616816	4.229610243092071e-05
55	Acinetobacter variabilis	ADAMTSL3	11.36547960360643	0.00010367679530212059
56	Acinetobacter variabilis	EGFR	7.6952083425234505	0.00010367679530212059
57	Acinetobacter venetianus	ALK	6.533283746663285	4.263090153245089e-05
58	Acinetobacter vivianii	ALK	7.114149167816447	0.00010378800046067274
59	Acinetobacter vivianii	MYC	19.495800325215036	0.00010378800046067274
60	Acinetobacter wanghuae	ALK	7.114149167816447	5.1366661448510916e-05
61	Acinetobacter wanghuae	MYC	6.226844515714059	5.1366661448510916e-05
62	Acinetobacter wuhouensis	ALK	5.764096682497424	6.407341122779793e-05
63	Actinobacillus equuli	ADGRG6	7.307740882290582	2.6101200670736816e-05
64	Actinomyces faecalis	ROS1	20.521858555811782	2.9676284334751617e-05
65	Actinomyces massiliensis	CDKN2A	16.137508759963115	0.0002525795261786772
66	Actinomyces radicidentis	ROS1	7.795039552696828	1.743900397077085e-05
67	Actinomyces slackii	ROS1	8.047923847621767	1.4438054858214669e-05
68	Actinomyces sp. HMT 175	CHIA	6.0382502989593565	0.000303463066229851
69	Actinomyces trachealis	ROS1	7.795039552696828	2.676168132204642e-05
70	Actinomyces viscosus	RET	6.143001547340415	0.00011067337984631581
71	Aeromicrobium sp. Leaf245	NF1	7.700963770277445	6.691877231055848e-07
72	Aeromicrobium sp. Leaf245	RB1	9.246650247160655	6.691877231055848e-07
73	Aeromicrobium sp. Leaf245	TP53	7.307152516534957	6.691877231055848e-07
74	Aeromonas dhakensis	CHIA	7.329946903337157	0.0024091540117969394
75	Aeromonas hydrophila	KRAS	7.6747668529534625	5.431190533306189e-05
76	Agrobacterium pusense	AKT1	13.815510557935518	0.00021810361731171667
77	Agrobacterium pusense	CDKN2A	20.91563428254724	0.00021810361731171667
78	Agrobacterium tumefaciens	KRAS	9.813015049558636	0.0023776953986352034
79	Alcaligenes faecalis	EGFR	13.123648208596943	5.489991642333064e-05
80	Alicycliphilus denitrificans	AKT1	6.416404162806236	0.00017760424440024417
81	Aliivibrio fischeri	CHIA	15.040415725417382	4.588175202416883e-06
82	Aliivibrio fischeri	HHIP	9.242306442371625	4.588175202416883e-06
83	Alistipes communis	CHRM3	17.358133630035724	2.60717737037336e-05
84	Aminipila butyrica	ADGRG6	11.277164265658572	7.525785251161601e-06
85	Aminipila butyrica	CHRNA3	8.085851327782324	7.525785251161601e-06
86	Amycolatopsis sp. YIM 10	ERBB2	7.425400314595352	1.283321829332787e-05
87	Anaerococcus sp. Marseille-Q7828	ERBB2	15.051006951016323	2.166150725381393e-06
88	Anaerostipes hadrus	CHRM3	22.494563210543866	5.1431338954996364e-05
89	Anaerostipes hadrus	CDKN2A	7.091964221078781	5.1431338954996364e-05
90	Anaerostipes hadrus	CHRNA3	13.438323961352655	5.1431338954996364e-05
91	Andhravirus andhra	NPNT	14.79036722379731	0.010885008570609539
92	Aquabacterium olei	KRAS	7.584526021216609	0.00021840889632316043
93	Aquabacterium sp. J223	EGFR	8.021126169769445	7.314361599631026e-05
94	Aquiluna borgnonia	CDKN2A	12.024239755454824	1.880329420989575e-05
95	Aquincola tertiaricarbonis	BRAF	6.687263395842907	0.00027768866231371874
96	Arachidicoccus sp. B3-10	CHRM3	14.04717230484342	7.886902456292432e-07
97	Arcanobacterium haemolyticum	ROS1	5.974787632198457	1.2263380185806549e-05
98	Arcanobacterium phocae	CHRNA3	12.506265115133681	1.785686053463629e-06
99	Arthrobacter sp. NicSoilB4	CHRNA5	9.17495995251676	2.3555406147886272e-05
100	Arthrobacter sp. U41	AKT1	7.451998779688945	3.8325218932488495e-05
101	Arthrobacter sp. U41	FBXO38	6.846868812903688	3.8325218932488495e-05
102	Arthrobacter sp. YC-RL1	CHIA	7.96896346359351	0.00015562615855574199
103	Azospira restricta	FBXO38	8.460123474516406	6.335228444932268e-05
104	Azospirillum argentinense	CHRNA5	14.847144478719768	4.327365238878932e-06
105	Azospirillum argentinense	CHRNA3	16.684816424960005	4.327365238878932e-06
106	Azospirillum brasilense	FBXO38	21.947080621724314	3.3880260088607106e-05
107	Bacillus altitudinis	BRAF	8.81726334197953	0.0002793056470305559
108	Bacillus amyloliquefaciens	ITGA1	12.119823790280275	2.43928324301742e-05
109	Bacillus cereus	CHRNB4	6.118114790782276	0.00037687875218992876
110	Bacillus velezensis	MAP2K1	7.269929369801062	0.0011681055454707536
111	Bacteroides coprosuis	ADGRG6	13.925420124190776	2.1586456179832596e-05
112	Bacteroides coprosuis	CDKN2A	14.430018184332914	2.1586456179832596e-05
113	Bacteroides coprosuis	CHRNA3	11.913721121922448	2.1586456179832596e-05
114	Bacteroides helcogenes	ADGRG6	10.156073619372544	4.616941824788839e-05
115	Bacteroides heparinolyticus	MYC	11.497374931745334	0.0003592910377354934
116	Bacteroides intestinalis	CHRM3	18.18276338090269	0.0001950089200146892
