,start,end,weight,mean_relative_abundance
0,Salmonella enterica,TP53,9.283197168747924,0.1232495637376914
1,Klebsiella pneumoniae,NF1,6.552326738942114,0.032465701391729294
2,Klebsiella pneumoniae,TP53,12.833985790203519,0.032465701391729294
3,Moraxella osloensis,FAM13A,6.0611155615942325,0.0002026808883288595
4,Streptococcus mitis,IL17RD,15.784278479702818,0.011171043516161274
5,Streptococcus australis,IL17RD,7.139572507449817,0.0007795728538559943
6,Streptococcus toyakuensis,IL17RD,15.784278479702818,0.0013330082845044095
7,Gemella morbillorum,PIK3CA,6.306726831587852,0.00015567043476835815
8,Bacillus cereus,ERBB2,8.886899692978986,1.0504383845934873e-05
9,Coprococcus comes,ERBB2,14.91438001287165,5.9142316729941115e-06
10,Coprococcus comes,MYC,12.245342539543943,5.9142316729941115e-06
11,Allomeiothermus silvanus,FBXO38,15.163676315369315,0.009813676246914814
12,Prevotella bivia,MYC,13.395864478356566,0.00020464757444828334
13,Prevotella oris,MET,16.76722341131195,0.002989865054750489
14,Prevotella oris,TGFB2,8.624795044392169,0.002989865054750489
15,Prevotella oris,MYC,6.625657818483295,0.002989865054750489
16,Hoylesella buccalis,MET,14.8116839084127,9.764825323083231e-05
17,Porphyromonas endodontalis,MET,11.00377240832829,0.0053067080849833435
18,Campylobacter concisus,NRG1,6.276075634106602,0.0022357931432059343
19,Campylobacter concisus,MET,12.026252494958936,0.0022357931432059343
20,Jouyvirus ev017,TP53,12.833985790203519,0.05099236693172058
21,Roseococcus microcysteis,MAP2K1,7.913783305668969,1.9662503693960756e-06
22,Acidovorax sp. KKS102,FBXO38,6.34585932145829,2.1089462515269672e-05
23,Acidovorax temperans,FBXO38,6.298304752830162,0.0002461507110778559
24,Actinomyces israelii,BRAF,12.315471882698855,5.1296544270802965e-05
25,Rothia dentocariosa,SFTPD,20.234248693140202,0.0008856872449927169
26,Streptococcus gwangjuense,IL17RD,7.887159428384002,0.0010803502664751975
27,Veillonella atypica,ADGRG6,7.915723862877457,0.010123080952431824
28,Prevotella jejuni,HHIP,7.461996971680893,0.022221610230336634
29,Prevotella corporis,CHRNA5,10.239488043437053,0.00019388450522415411
30,Bacteroides xylanisolvens,RET,13.795802005795862,5.548555706251406e-06
31,Phocaeicola salanitronis,MYC,7.988388000432746,5.221682285718046e-06
32,Gemmatimonas groenlandica,TP53,13.89951613555426,0.00043671776670439993
33,Akkermansia muciniphila,FBXO38,9.045564354227634,3.641025179983663e-05
34,Achromobacter xylosoxidans,FBXO38,13.02428059299843,3.502973051926049e-05
35,Streptococcus sp. 116-D4,IL17RD,18.314676657593,0.0008178704305397272
36,Selenomonas sp. oral taxon 136,MYC,12.667248455706389,0.0007442758552932612
37,Mogibacterium diversum,CHRNA5,11.680914276523469,0.0006724433900928615
38,Mogibacterium diversum,MYC,12.662692200389575,0.0006724433900928615
39,Porphyromonas sp. oral taxon 275,MET,8.020688387373767,0.0003584352157421272
40,Fusobacterium periodonticum,NRG1,10.83615930321792,0.0004938463170660287
41,Ferribacterium limneticum,HHIP,6.81850785054287,2.0314815214054284e-05
42,Selenomonas sp. oral taxon 478,MYC,8.14873297925384,0.0009303192813311899
43,Selenomonas sp. oral taxon 920,MET,6.114857539900701,0.00013192577994512473
44,Selenomonas sp. oral taxon 920,ADGRG6,18.344548076380626,0.00013192577994512473
45,Selenomonas sputigena,MYC,7.540029731755208,0.00026530095083190827
46,Pseudoprevotella muciniphila,ERBB2,10.67198913206192,2.9214302881834927e-05
47,Vibrio vulnificus,CHRNA5,6.023499328278245,1.3340695699053854e-06
48,Vibrio vulnificus,MYC,13.916131926527928,1.3340695699053854e-06
49,Ralstonia mannitolilytica,FBXO38,7.395384565144387,4.625260541669729e-05
50,Aeromonas hydrophila,CDKN2A,9.476759324096557,0.0002343604507693842
51,Actinomyces naeslundii,SFTPD,21.270815727738867,9.283366977025214e-05
52,Staphylococcus cohnii,BRAF,7.371038371164301,8.30230541797844e-06
53,Capnocytophaga sp. FDAARGOS_737,MYC,15.001225010136213,0.0003576567458696185
54,Methylibium sp. Pch-M,MYC,12.526760556892604,1.8789648724524312e-06
55,Treponema vincentii,MET,5.783910351699416,6.357125481566608e-05
56,Tequatrovirus kaw,TP53,6.563851457525611,0.00010329685036966116
57,Corynebacterium felinum,CHRNA5,6.6561093292718905,2.9084034860295743e-06
58,Propionibacterium acidifaciens,MYC,11.566708216592449,1.175742529110938e-05
59,Streptobacillus moniliformis,MYC,6.219335157872376,3.4880499307681835e-06
60,Pseudomonas putida,FBXO38,18.172769035323356,0.0003375406903822484
61,Aggregatibacter sp. oral taxon 513,MET,12.264449487132794,4.440411926419368e-05
62,Aggregatibacter sp. 2125159857,MET,7.474210762865816,0.00010734207155224101
63,Sphingomonas sp. PAMB00755,BRAF,30.55471566296047,3.646220994387597e-06
64,Acidibrevibacterium fodinaquatile,HHIP,12.84896229515332,8.655630949310549e-07
65,Actinomyces pacaensis,ADGRG6,9.939231885143473,0.0006403926397369206
66,Streptococcus pyogenes,IL17RD,11.171528351352851,1.9850368771289677e-05
67,Megasphaera hexanoica,ERBB2,10.03568296370011,1.4064637704105806e-05
68,Parvimonas micra,MET,7.624228381633769,0.00028265826858804165
69,Candidatus Minimicrobia vallesae,CHRNA5,10.562458735560746,0.0018511760179476943
70,Candidatus Nanosynbacter sp. HMT-352,CHRNA5,10.562458735560746,0.0011059275228234265
71,Pichia kudriavzevii,HHIP,14.625873188881174,6.150183546275121e-07
72,Stutzerimonas stutzeri,FBXO38,8.219077236874423,0.00015734377893271176
73,Bosea sp. RAC05,NPNT,14.703942358544365,1.1310744745095141e-05
74,Faecalibacterium prausnitzii,ERBB2,9.646817574048304,8.001809708176474e-06
75,Bacteroides thetaiotaomicron,ERBB2,13.509847058595994,1.2737049848547955e-05
76,Fusobacterium nucleatum,MET,22.680407922654684,0.00046968456556034053
77,Fusobacterium nucleatum,ADGRG6,8.800471456839976,0.00046968456556034053
78,Treponema medium,MET,7.395384565144387,3.505276253216493e-05
79,Acinetobacter colistiniresistens,ADAMTSL3,7.362626261164403,1.4335430129203628e-06
80,Streptococcus anginosus,IL17RD,8.300506182374201,0.00022720136017443526
81,Oscillatoria nigro-viridis,NF1,6.378866842650334,3.4179436830501123e-06
82,Fusarium oxysporum,MET,18.38057541696775,1.1067676806058727e-06
83,Acinetobacter lwoffii,IL10,15.431183941567152,0.00011264929728400172
84,Streptococcus marmotae,IL17RD,17.523691663982856,4.545129629253084e-06
